game_id,tag_id
007jamesbond,50
007jamesbond,51
bankpanic,88
bombjack,65
borderline,17
cso,9
chacknpop,66
challengederby,108
challengederby,109
challengederby,110
championbaseball,92
championbaseball,93
championbilliards,71
championboxing,99
championboxing,98
championgolf,103
championgolf,100
championicehockey,104
championkendou,105
championprowrestling,70
championsoccer,106
championtennis,107
championshiploderunner,4
choplifter,79
chuugakuhisshuueibunpou1,31
chuugakuhisshuueibunpou2,31
chuugakuhishuueisakubun1,31
chuugakuhishuueisakubun1,32
chuugakuhishuueisakubun2,31
chuugakuhishuueisakubun2,32
chuugakuhisshuueitango1,31
chuugakuhisshuueitango2,31
chuugakuhisshuueitango2,32
congobongo,12
congobongo,14
congobongo,15
dokidokipenguinland,74
dragonwang,56
dragonwang,57
drol,10
elevatoraction,58
exerion,85
flicky,12
flicky,14
girlsgarden,1
golgo13,55
gpworld,39
gpworld,40
gulkave,78
guzzler,5
hero,59
hangon2,44
homebasic,33
homemahjong,95
homemahjong,96
hustlechumy,11
hypersports,94
kagakugensokigoumaster,31
loderunner,3
monacogp,41
monacogp,38
monacogp,43
musiceditor,27
nihonshinenpyou,31
ninjaprincess,69
nsub,47
nsub,48
okamotoayakonomatchplaygolf,101
okamotoayakonomatchplaygolf,102
orguss,49
othello,97
pacar,6
pacar,7
pitfall2,59
pitfall2,60
popflamer,64
qbert,2
rocknbolt,63
safarihunting,8
safarirace,45
sanninmahjong,18
sanninmahjong,19
basiclevel2,26
basiclevel2,29
basiclevel3,26
basiclevel3,29
segaflipper,72
segaflipper,73
segagalaga,75
segagalaga,76
segamahjong,20
segamahjong,21
segapachinko,34
pachinko2,34
sekaishinenpyou,31
serizawahachidannotsumeshougi,22
sg1000m2checkprogram,24
shinnyuushaintoorukun,62
sinbadmystery,64
soukoban,35
spacearmor,82
spacearmor,83
spacearmor,84
spaceinvaders,75
spacemountain,77
spaceslalom,61
starforce,53
starforce,54
starjacker,85
starjacker,86
starjacker,87
supertank,81
tanoshiisansuu4ge,31
tanoshiisansuu4jou,31
tanoshiisansuu4jou,32
tanoshiisansuu5ge,31
tanoshiisansuu5jou,31
tanoshiisansuu6ge,31
tanoshiisansuu6jou,31
terebioekaki,30
theblackonyx,46
thecastle,16
uranaiangelcutie,26
wonderboy,67
wonderboy,68
yamato,89
yamato,90
zaxxon,52
zippyrace,37
zippyrace,36
zoom909,91
borderline,17
championbaseball,92
championgolf,103
championsoccer,106
championtennis,107
congobongo,12
congobongo,13
exerion,85
flicky,12
loderunner,3
monacogp,41
monacogp,42
musiceditor,27
nsub,47
orguss,49
pacar,6
popflamer,64
safarihunting,8
safarirace,45
basiclevel3,25
basiclevel3,28
segaflipper,72
sinbadmystery,64
starjacker,85
starjacker,86
yamato,89
electronicsalesman,23
linkword,23
choplifter,80
