name,developer_id
Almanic/ALU,1
Amoeba/Novotrade,2
Artech/Grey Matter,3
BlueSky,4
CRI,5
Core Design,6
Eurocom,7
Extended Play/Probe,8
Flashpoint,9
Freestyle/Zombie Virtual Reality/Big Bang/Krisalis,10
Frontier,11
GameTek,12
Iguana,13
Iguana/The White Team,14
Interplay,15
Interplay/High Voltage,16
Novotrade,17
Paradox/Interplay,18
Probe,19
Quakenbush,20
Rutubo,21
SEGA,22
SEGA CS3,23
SEGA CS3/Red,24
SEGA CS4,25
SEGA InterActive,26
SEGA of America/id Software,27
Scavenger,28
Sculptured/The Black Team,29
Time Warner Interactive,30
Time Warner Interactive/BITS,31
Virgin/Westwood,32
Visual Concepts,33
