game_id,developer_id
afterburnercomplete,21
chaotix,23
cosmiccarnage,1
doom,27
36greatholesstarringfredcouples,9
metalhead,25
mortalkombat2,19
nbajamte,14
nflquarterbackclub95,13
parasquad,5
sangokushi4,22
spaceharrier,21
starwarsarcade,26
stellarassault,23
tempo,24
virtuafighter,25
virtuaracingdeluxe,25
wwfraw,29
afterburnercomplete,21
bcracers,6
blackthorne,18
brutalunleashedabovetheclaw,12
chaotix,23
cosmiccarnage,1
doom,27
36greatholesstarringfredcouples,9
kolibri,2
metalhead,25
mortalkombat2,19
motocrosschampionship,3
nbajamte,14
nflquarterbackclub95,13
pitfallthemayanadventure,10
primalrage,30
rbibaseball95,30
stellarassault,23
spaceharrier,21
spidermanweboffire,4
startrekstarfleetacademystarshipbridgesimulator,16
starwarsarcade,26
tmek,31
tempo,24
toughmancontest,33
virtuafighter,25
virtuaracingdeluxe,25
worldseriesbaseballsds,4
wwfraw,29
wwfwrestlemania,29
parasquad,5
afterburnercomplete,21
chaotix,23
cosmiccarnage,1
darxide,11
doom,27
fifasoccer96,8
36greatholesstarringfredcouples,9
kolibri,2
metalhead,25
mortalkombat2,19
parasquad,5
motocrosschampionship,3
nbajamte,14
nflquarterbackclub95,13
primalrage,30
spaceharrier,21
starwarsarcade,26
stellarassault,23
tmek,31
toughmancontest,33
virtuafighter,25
virtuaracingdeluxe,25
wwfraw,29
clayfighter2judgmentclay,15
pinocchio,32
soulstarx,6
spotgoestohollywood,7
virtuahamster,20
xmen32x,28
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
chaotix,23
cosmiccarnage,1
cosmiccarnage,1
cosmiccarnage,1
cosmiccarnage,1
cosmiccarnage,1
cosmiccarnage,1
cosmiccarnage,1
cosmiccarnage,1
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
doom,27
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
metalhead,25
metalhead,25
metalhead,25
metalhead,25
metalhead,25
metalhead,25
metalhead,25
metalhead,25
metalhead,25
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
motocrosschampionship,3
parasquad,5
parasquad,5
parasquad,5
parasquad,5
parasquad,5
parasquad,5
parasquad,5
parasquad,5
parasquad,5
spaceharrier,21
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
starwarsarcade,26
stellarassault,23
stellarassault,23
stellarassault,23
stellarassault,23
stellarassault,23
stellarassault,23
stellarassault,23
tempo,24
tempo,24
tempo,24
tempo,24
tempo,24
tempo,24
tempo,24
tempo,24
virtuafighter,25
virtuafighter,25
virtuafighter,25
virtuafighter,25
virtuafighter,25
virtuafighter,25
virtuafighter,25
virtuaracingdeluxe,25
virtuaracingdeluxe,25
virtuaracingdeluxe,25
eccothedolphin32x,17
parasquad,5
mars3dtest,22
marschecker,22
timewarner32xcmd,30
