game_id,publisher_id
afterburnercomplete,9
chaotix,9
cosmiccarnage,9
doom,9
36greatholesstarringfredcouples,9
metalhead,9
mortalkombat2,1
nbajamte,1
nflquarterbackclub95,1
parasquad,9
sangokushi4,9
spaceharrier,9
starwarsarcade,9
stellarassault,9
tempo,9
virtuafighter,9
virtuaracingdeluxe,9
wwfraw,1
afterburnercomplete,9
bcracers,6
blackthorne,9
brutalunleashedabovetheclaw,7
chaotix,9
cosmiccarnage,9
doom,9
36greatholesstarringfredcouples,9
kolibri,9
metalhead,9
mortalkombat2,1
motocrosschampionship,9
nbajamte,1
nflquarterbackclub95,1
pitfallthemayanadventure,2
primalrage,9
rbibaseball95,10
stellarassault,9
spaceharrier,9
spidermanweboffire,9
startrekstarfleetacademystarshipbridgesimulator,9
starwarsarcade,9
tmek,9
tempo,9
toughmancontest,5
virtuafighter,9
virtuaracingdeluxe,9
worldseriesbaseballsds,9
wwfraw,1
wwfwrestlemania,1
parasquad,9
afterburnercomplete,9
chaotix,9
cosmiccarnage,9
darxide,9
doom,9
fifasoccer96,5
36greatholesstarringfredcouples,9
kolibri,9
metalhead,9
mortalkombat2,1
parasquad,9
motocrosschampionship,9
nbajamte,1
nflquarterbackclub95,1
primalrage,9
spaceharrier,9
starwarsarcade,9
stellarassault,9
tmek,9
toughmancontest,5
virtuafighter,9
virtuaracingdeluxe,9
wwfraw,1
clayfighter2judgmentclay,8
pinocchio,4
soulstarx,3
spotgoestohollywood,11
virtuahamster,9
xmen32x,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
chaotix,9
cosmiccarnage,9
cosmiccarnage,9
cosmiccarnage,9
cosmiccarnage,9
cosmiccarnage,9
cosmiccarnage,9
cosmiccarnage,9
cosmiccarnage,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
doom,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
36greatholesstarringfredcouples,9
metalhead,9
metalhead,9
metalhead,9
metalhead,9
metalhead,9
metalhead,9
metalhead,9
metalhead,9
metalhead,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
motocrosschampionship,9
parasquad,9
parasquad,9
parasquad,9
parasquad,9
parasquad,9
parasquad,9
parasquad,9
parasquad,9
parasquad,9
spaceharrier,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
starwarsarcade,9
stellarassault,9
stellarassault,9
stellarassault,9
stellarassault,9
stellarassault,9
stellarassault,9
stellarassault,9
tempo,9
tempo,9
tempo,9
tempo,9
tempo,9
tempo,9
tempo,9
tempo,9
virtuafighter,9
virtuafighter,9
virtuafighter,9
virtuafighter,9
virtuafighter,9
virtuafighter,9
virtuafighter,9
virtuaracingdeluxe,9
virtuaracingdeluxe,9
virtuaracingdeluxe,9
eccothedolphin32x,9
parasquad,9
mars3dtest,9
marschecker,9
timewarner32xcmd,10
