game_id,tag_id
afterburnercomplete,24
chaotix,30
cosmiccarnage,35
doom,18
36greatholesstarringfredcouples,66
metalhead,15
mortalkombat2,37
nbajamte,62
nflquarterbackclub95,64
parasquad,50
sangokushi4,65
spaceharrier,23
starwarsarcade,28
stellarassault,55
tempo,3
virtuafighter,37
virtuaracingdeluxe,44
wwfraw,61
afterburnercomplete,24
bcracers,48
blackthorne,2
brutalunleashedabovetheclaw,39
chaotix,30
cosmiccarnage,35
doom,18
36greatholesstarringfredcouples,67
kolibri,33
metalhead,15
mortalkombat2,37
motocrosschampionship,45
nbajamte,62
nflquarterbackclub95,64
pitfallthemayanadventure,9
primalrage,37
rbibaseball95,59
stellarassault,55
spaceharrier,23
spidermanweboffire,7
startrekstarfleetacademystarshipbridgesimulator,58
starwarsarcade,26
tmek,54
tempo,3
toughmancontest,40
virtuafighter,37
virtuaracingdeluxe,42
worldseriesbaseballsds,60
wwfraw,61
wwfwrestlemania,41
parasquad,52
afterburnercomplete,24
chaotix,30
cosmiccarnage,35
darxide,21
doom,18
fifasoccer96,63
36greatholesstarringfredcouples,67
kolibri,33
metalhead,15
mortalkombat2,37
parasquad,50
motocrosschampionship,45
nbajamte,62
nflquarterbackclub95,64
primalrage,37
spaceharrier,23
starwarsarcade,26
stellarassault,55
tmek,54
toughmancontest,40
virtuafighter,37
virtuaracingdeluxe,42
wwfraw,61
clayfighter2judgmentclay,34
pinocchio,8
soulstarx,22
spotgoestohollywood,6
virtuahamster,49
xmen32x,1
chaotix,31
chaotix,31
chaotix,31
chaotix,31
chaotix,31
chaotix,31
chaotix,31
chaotix,31
chaotix,31
chaotix,31
chaotix,32
chaotix,31
cosmiccarnage,36
cosmiccarnage,36
cosmiccarnage,36
cosmiccarnage,36
cosmiccarnage,36
cosmiccarnage,36
cosmiccarnage,36
cosmiccarnage,36
doom,20
doom,20
doom,20
doom,20
doom,20
doom,20
doom,20
doom,20
doom,20
doom,19
doom,19
doom,19
doom,20
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,69
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,69
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,69
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
36greatholesstarringfredcouples,68
metalhead,16
metalhead,16
metalhead,16
metalhead,16
metalhead,16
metalhead,17
metalhead,16
metalhead,16
metalhead,16
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,47
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
motocrosschampionship,46
parasquad,53
parasquad,53
parasquad,53
parasquad,53
parasquad,53
parasquad,53
parasquad,53
parasquad,53
parasquad,53
spaceharrier,25
starwarsarcade,29
starwarsarcade,29
starwarsarcade,29
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
starwarsarcade,27
stellarassault,56
stellarassault,56
stellarassault,56
stellarassault,56
stellarassault,56
stellarassault,56
stellarassault,57
tempo,4
tempo,4
tempo,4
tempo,4
tempo,4
tempo,4
tempo,5
tempo,4
virtuafighter,38
virtuafighter,38
virtuafighter,38
virtuafighter,38
virtuafighter,38
virtuafighter,38
virtuafighter,38
virtuaracingdeluxe,43
virtuaracingdeluxe,43
virtuaracingdeluxe,43
eccothedolphin32x,11
parasquad,51
mars3dtest,12
marssample3dsonic,13
marssampleicosahedron,12
marssampleimperialmarch,12
marssampletutankhamun,12
marssampletriangle,12
marschecker,14
timewarner32xcmd,10
