game_id,developer_id
gekkanokenshitnshcyh,24
gekkanokenshitnshcyh,24
baseballstars,24
baseballstarscolor,24
beastbustersynsh,11
bigbangprowrestling,13
bigtournamentgolf,24
bikkuriman2000vpf,15
biomotorunitron,32
coolboarderspocket,29
coolcooljam,18
crushroller,1
deltawarp,7
densetsunoogrebattlezno,12
denshadego2,28
divealertrebeccahen,22
divealertburnhen,22
dokodemomahjong,1
dynamiteslugger,1
cotton,27
faselei,22
ganbareneopokekunkari,18
garoudensetsufc,33
garoudensetsufc,33
infinitycure,9
kikouseikiunitron,32
kingoffightersr1,18
kingoffightersr2,18
koikoimahjong,31
koikoimahjong,31
magicaldroppocket,23
melonchannoseichounikki,1
memoriesoffpure,9
metalslug1stmission,30
metalslug1stmission,30
metalslug2ndmission,30
metalslug2ndmission,30
mezasekanjiou,18
mizukishigerunoyoukaishashinkan,30
neo21,4
neobaccarat,5
neocherrymaster,4
neocherrymaster,4
neoderbychampdaiyosou,4
neodragonswild,4
neomysterybonus,4
neopokeproyakyuu,1
neopokeproyakyuu,1
neogeocup98,18
neogeocup98,18
nigeronpa,6
oekakipuzzle,26
pacman,10
pachinkohisshouguide,8
aruzeporcano2,2
aruzeazteca,2
aruzeazteca,2
aruzeazteca,2
aruzedekahel,2
aruzedelsol,2
aruzeecup,2
aruzeecup,2
aruzehanabi,2
aruzehanabi,2
aruzehanabi,2
aruzedaihanabi,2
aruzewardoflights,2
aruzewardoflights,2
partymail,1
pocketloveif,9
pocketreversi,26
pockettennis,32
pockettennis,32
puyopuyo2,16
puzzlebobblemini,28
renketsupuzzletp,32
renketsupuzzletp,32
rockmanbattleandfighters,3
samuraispirits,24
samuraispirits2,24
samuraispirits2,24
shanghaimini,20
shinsekaievolutionhd,25
shouginotatsujin,1
shouginotatsujin,1
snkgalsfighters,32
snkgalsfighters,32
gekitotsucardfighterscapcomver,21
gekitotsucardfighterscapcomver,21
gekitotsucardfighterssnkver,21
gekitotsucardfighterssnkver,21
cardfighters2ee,21
snkvscapcomcksf,21
snkvscapcomcksf,21
sonicpocketadventure,14
soreikehanafudadoujou,4
superrealmahjongpc,17
thekingoffightersbdp,32
tsunagetepon2,32
baseballstarscolor,24
biomotorunitron,32
puzzlebobblemini,28
crushroller,1
beastbustersynsh,11
divealertrebeccahen,22
divealertburnhen,22
faselei,22
garoudensetsufc,33
kingoffightersr2,18
magicaldroppocket,23
metalslug1stmission,30
metalslug2ndmission,30
neo21,4
neocherrymaster,4
neodragonswild,4
neomysterybonus,4
bigtournamentgolf,24
neogeocup98,18
pacman,10
pockettenniscolor,32
puyopuyotsu,16
renketsupuzzletp,32
tsunagetepon2,32
samuraispirits2,24
shanghaimini,20
snkgalsfighters,32
gekitotsucardfighterscapcomver,21
gekitotsucardfighterssnkver,21
snkvscapcomcksf,21
sonicpocketadventure,14
gekkanokenshitnshcyh,24
baseballstars,24
baseballstarscolor,24
biomotorunitron,32
coolboarderspocket,29
crushroller,1
beastbustersynsh,11
divealertrebeccahen,22
divealertburnhen,22
dynamiteslugger,1
shinsekaievolutionhd,25
shinsekaievolutionhd,25
cotton,27
faselei,22
garoudensetsufc,33
kingoffightersr1,18
kingoffightersr2,18
magicaldroppocket,23
metalslug1stmission,30
metalslug2ndmission,30
neo21,4
neobaccarat,5
neocherrymaster,4
neodragonswild,4
neomysterybonus,4
bigtournamentgolf,24
neogeocup98,18
pacman,10
oekakipuzzle,26
pocketreversi,26
pocketreversi,26
pockettennis,32
pockettennis,32
puyopuyotsu,16
puzzlebobblemini,28
renketsupuzzletp,32
tsunagetepon2,32
samuraispirits,24
samuraispirits2,24
shanghaimini,20
snkgalsfighters,32
gekitotsucardfighterscapcomver,21
gekitotsucardfighterssnkver,21
snkvscapcomcksf,21
sonicpocketadventure,14
gekkanokenshitnshcyh,24
neobaccarat,5
neodragonswild,4
puyopuyo2,16
biomotorunitron,32
deltawarp,7
denshadego2,28
kingoffightersr1/melonchannoseichounikki,19
kingoffightersr2,18
kingoffightersr2,18
magicaldroppocket,23
metalslug2ndmission,30
neocherrymastercolor,4
rockmanbattleandfighters,3
gekitotsucardfighters,21
gekitoucardfighterssnkver,21
snkvscapcomcksf,21
sonicpocketadventure,14
coolcooljam,18
ppaa01pusherphcg,2
puzzlebobblemini,28
divealertburnhen,22
neobaccarat,5
pachinkohisshouguide,8
partymail,1
shanghaimini,20
shanghaimini,20
sonicpocketadventure,14
bigbangprowrestling,13
