game_id,publisher_id
gekkanokenshitnshcyh,12
gekkanokenshitnshcyh,12
baseballstars,12
baseballstarscolor,12
beastbustersynsh,12
bigbangprowrestling,12
bigtournamentgolf,12
bikkuriman2000vpf,10
biomotorunitron,12
coolboarderspocket,12
coolcooljam,12
crushroller,12
deltawarp,6
densetsunoogrebattlezno,12
denshadego2,12
divealertrebeccahen,12
divealertburnhen,12
dokodemomahjong,12
dynamiteslugger,12
cotton,14
faselei,12
ganbareneopokekunkari,12
garoudensetsufc,12
garoudensetsufc,12
infinitycure,8
kikouseikiunitron,12
kingoffightersr1,12
kingoffightersr2,12
koikoimahjong,15
koikoimahjong,15
magicaldroppocket,4
melonchannoseichounikki,12
memoriesoffpure,8
metalslug1stmission,12
metalslug1stmission,12
metalslug2ndmission,12
metalslug2ndmission,12
mezasekanjiou,12
mizukishigerunoyoukaishashinkan,12
neo21,12
neobaccarat,12
neocherrymaster,12
neocherrymaster,12
neoderbychampdaiyosou,3
neodragonswild,12
neomysterybonus,12
neopokeproyakyuu,12
neopokeproyakyuu,12
neogeocup98,12
neogeocup98,12
nigeronpa,5
oekakipuzzle,14
pacman,9
pachinkohisshouguide,7
aruzeporcano2,1
aruzeazteca,1
aruzeazteca,1
aruzeazteca,1
aruzedekahel,1
aruzedelsol,1
aruzeecup,1
aruzeecup,1
aruzehanabi,1
aruzehanabi,1
aruzehanabi,1
aruzedaihanabi,1
aruzewardoflights,1
aruzewardoflights,1
partymail,12
pocketloveif,8
pocketreversi,14
pockettennis,16
pockettennis,16
puyopuyo2,10
puzzlebobblemini,13
renketsupuzzletp,12
renketsupuzzletp,12
rockmanbattleandfighters,2
samuraispirits,12
samuraispirits2,12
samuraispirits2,12
shanghaimini,12
shinsekaievolutionhd,11
shouginotatsujin,12
shouginotatsujin,12
snkgalsfighters,12
snkgalsfighters,12
gekitotsucardfighterscapcomver,12
gekitotsucardfighterscapcomver,12
gekitotsucardfighterssnkver,12
gekitotsucardfighterssnkver,12
cardfighters2ee,12
snkvscapcomcksf,12
snkvscapcomcksf,12
sonicpocketadventure,10
soreikehanafudadoujou,3
superrealmahjongpc,12
thekingoffightersbdp,12
tsunagetepon2,12
baseballstarscolor,12
biomotorunitron,12
puzzlebobblemini,12
crushroller,12
beastbustersynsh,12
divealertrebeccahen,12
divealertburnhen,12
faselei,12
garoudensetsufc,12
kingoffightersr2,12
magicaldroppocket,4
metalslug1stmission,12
metalslug2ndmission,12
neo21,12
neocherrymaster,12
neodragonswild,12
neomysterybonus,12
bigtournamentgolf,12
neogeocup98,12
pacman,9
pockettenniscolor,16
puyopuyotsu,10
renketsupuzzletp,12
tsunagetepon2,12
samuraispirits2,12
shanghaimini,12
snkgalsfighters,12
gekitotsucardfighterscapcomver,12
gekitotsucardfighterssnkver,12
snkvscapcomcksf,12
sonicpocketadventure,10
gekkanokenshitnshcyh,12
baseballstars,12
baseballstarscolor,12
biomotorunitron,12
coolboarderspocket,12
crushroller,12
beastbustersynsh,12
divealertrebeccahen,12
divealertburnhen,12
dynamiteslugger,12
shinsekaievolutionhd,11
shinsekaievolutionhd,11
cotton,14
faselei,12
garoudensetsufc,12
kingoffightersr1,12
kingoffightersr2,12
magicaldroppocket,4
metalslug1stmission,12
metalslug2ndmission,12
neo21,12
neobaccarat,12
neocherrymaster,12
neodragonswild,12
neomysterybonus,12
bigtournamentgolf,12
neogeocup98,12
pacman,9
oekakipuzzle,14
pocketreversi,14
pocketreversi,14
pockettennis,16
pockettennis,16
puyopuyotsu,11
puzzlebobblemini,12
renketsupuzzletp,12
tsunagetepon2,12
samuraispirits,12
samuraispirits2,12
shanghaimini,12
snkgalsfighters,12
gekitotsucardfighterscapcomver,12
gekitotsucardfighterssnkver,12
snkvscapcomcksf,12
sonicpocketadventure,10
gekkanokenshitnshcyh,12
neobaccarat,12
neodragonswild,12
puyopuyo2,10
biomotorunitron,12
deltawarp,12
denshadego2,12
kingoffightersr1/melonchannoseichounikki,12
kingoffightersr2,12
kingoffightersr2,12
magicaldroppocket,4
metalslug2ndmission,12
neocherrymastercolor,12
rockmanbattleandfighters,2
gekitotsucardfighters,12
gekitoucardfighterssnkver,12
snkvscapcomcksf,12
sonicpocketadventure,10
coolcooljam,12
ppaa01pusherphcg,1
puzzlebobblemini,12
divealertburnhen,12
neobaccarat,12
pachinkohisshouguide,7
partymail,12
shanghaimini,12
shanghaimini,12
sonicpocketadventure,10
bigbangprowrestling,12
