game_id,region_id
gekkanokenshitnshcyh,2
gekkanokenshitnshcyh,2
baseballstars,2
baseballstarscolor,2
beastbustersynsh,2
bigbangprowrestling,2
bigtournamentgolf,2
bikkuriman2000vpf,2
biomotorunitron,2
coolboarderspocket,2
coolcooljam,2
crushroller,2
deltawarp,2
densetsunoogrebattlezno,2
denshadego2,2
divealertrebeccahen,2
divealertburnhen,2
dokodemomahjong,2
dynamiteslugger,2
cotton,2
faselei,2
ganbareneopokekunkari,2
garoudensetsufc,2
garoudensetsufc,2
infinitycure,2
kikouseikiunitron,2
kingoffightersr1,2
kingoffightersr2,2
koikoimahjong,2
koikoimahjong,2
magicaldroppocket,2
melonchannoseichounikki,2
memoriesoffpure,2
metalslug1stmission,2
metalslug1stmission,2
metalslug2ndmission,2
metalslug2ndmission,2
mezasekanjiou,2
mizukishigerunoyoukaishashinkan,2
neo21,2
neobaccarat,2
neocherrymaster,2
neocherrymaster,2
neoderbychampdaiyosou,2
neodragonswild,2
neomysterybonus,2
neopokeproyakyuu,2
neopokeproyakyuu,2
neogeocup98,2
neogeocup98,2
nigeronpa,2
oekakipuzzle,2
pacman,2
pachinkohisshouguide,2
aruzeporcano2,2
aruzeazteca,2
aruzeazteca,2
aruzeazteca,2
aruzedekahel,2
aruzedelsol,2
aruzeecup,2
aruzeecup,2
aruzehanabi,2
aruzehanabi,2
aruzehanabi,2
aruzedaihanabi,2
aruzewardoflights,2
aruzewardoflights,2
partymail,2
pocketloveif,2
pocketreversi,2
pockettennis,2
pockettennis,2
puyopuyo2,2
puzzlebobblemini,2
renketsupuzzletp,2
renketsupuzzletp,2
rockmanbattleandfighters,2
samuraispirits,2
samuraispirits2,2
samuraispirits2,2
shanghaimini,2
shinsekaievolutionhd,2
shouginotatsujin,2
shouginotatsujin,2
snkgalsfighters,2
snkgalsfighters,2
gekitotsucardfighterscapcomver,2
gekitotsucardfighterscapcomver,2
gekitotsucardfighterssnkver,2
gekitotsucardfighterssnkver,2
cardfighters2ee,2
snkvscapcomcksf,2
snkvscapcomcksf,2
sonicpocketadventure,2
soreikehanafudadoujou,2
superrealmahjongpc,2
thekingoffightersbdp,2
tsunagetepon2,2
baseballstarscolor,5
biomotorunitron,5
puzzlebobblemini,5
crushroller,5
beastbustersynsh,5
divealertrebeccahen,5
divealertburnhen,5
faselei,5
garoudensetsufc,5
kingoffightersr2,5
magicaldroppocket,5
metalslug1stmission,5
metalslug2ndmission,5
neo21,5
neocherrymaster,5
neodragonswild,5
neomysterybonus,5
bigtournamentgolf,5
neogeocup98,5
pacman,5
pockettenniscolor,5
puyopuyotsu,5
renketsupuzzletp,5
tsunagetepon2,5
samuraispirits2,5
shanghaimini,5
snkgalsfighters,5
gekitotsucardfighterscapcomver,5
gekitotsucardfighterssnkver,5
snkvscapcomcksf,5
sonicpocketadventure,5
gekkanokenshitnshcyh,5
baseballstars,1
baseballstarscolor,1
biomotorunitron,1
coolboarderspocket,1
crushroller,1
beastbustersynsh,1
divealertrebeccahen,1
divealertburnhen,1
dynamiteslugger,1
shinsekaievolutionhd,1
shinsekaievolutionhd,1
cotton,1
faselei,1
garoudensetsufc,1
kingoffightersr1,1
kingoffightersr2,1
magicaldroppocket,1
metalslug1stmission,1
metalslug2ndmission,1
neo21,1
neobaccarat,1
neocherrymaster,1
neodragonswild,1
neomysterybonus,1
bigtournamentgolf,1
neogeocup98,1
pacman,1
oekakipuzzle,1
pocketreversi,1
pocketreversi,1
pockettennis,1
pockettennis,1
puyopuyotsu,1
puzzlebobblemini,1
renketsupuzzletp,1
tsunagetepon2,1
samuraispirits,1
samuraispirits2,1
shanghaimini,1
snkgalsfighters,1
gekitotsucardfighterscapcomver,1
gekitotsucardfighterssnkver,1
snkvscapcomcksf,1
sonicpocketadventure,1
gekkanokenshitnshcyh,1
neobaccarat,3
neodragonswild,4
puyopuyo2,4
biomotorunitron,2
deltawarp,2
denshadego2,2
kingoffightersr1/melonchannoseichounikki,2
kingoffightersr2,2
kingoffightersr2,2
magicaldroppocket,2
metalslug2ndmission,4
neocherrymastercolor,4
rockmanbattleandfighters,2
gekitotsucardfighters,2
gekitoucardfighterssnkver,2
snkvscapcomcksf,2
sonicpocketadventure,4
coolcooljam,5
ppaa01pusherphcg,2
puzzlebobblemini,5
divealertburnhen,2
neobaccarat,1
pachinkohisshouguide,2
partymail,2
shanghaimini,4
shanghaimini,4
sonicpocketadventure,4
bigbangprowrestling,2
