game_id,tag_id
gekkanokenshitnshcyh,83
gekkanokenshitnshcyh,84
baseballstars,131
baseballstarscolor,133
beastbustersynsh,36
bigbangprowrestling,100
bigtournamentgolf,135
bikkuriman2000vpf,1
biomotorunitron,40
coolboarderspocket,54
coolcooljam,118
crushroller,58
deltawarp,30
densetsunoogrebattlezno,43
denshadego2,52
divealertrebeccahen,34
divealertburnhen,120
dokodemomahjong,74
dynamiteslugger,128
cotton,45
faselei,122
ganbareneopokekunkari,15
garoudensetsufc,88
garoudensetsufc,89
infinitycure,2
kikouseikiunitron,42
kingoffightersr1,86
kingoffightersr2,97
koikoimahjong,72
koikoimahjong,73
magicaldroppocket,107
melonchannoseichounikki,49
memoriesoffpure,12
metalslug1stmission,10
metalslug1stmission,11
metalslug2ndmission,7
metalslug2ndmission,8
mezasekanjiou,116
mizukishigerunoyoukaishashinkan,50
neo21,64
neobaccarat,69
neocherrymaster,27
neocherrymaster,29
neoderbychampdaiyosou,48
neodragonswild,67
neomysterybonus,24
neopokeproyakyuu,128
neopokeproyakyuu,129
neogeocup98,136
neogeocup98,138
nigeronpa,121
oekakipuzzle,102
pacman,4
pachinkohisshouguide,18
aruzeporcano2,20
aruzeazteca,24
aruzeazteca,25
aruzeazteca,26
aruzedekahel,20
aruzedelsol,20
aruzeecup,20
aruzeecup,21
aruzehanabi,24
aruzehanabi,25
aruzehanabi,26
aruzedaihanabi,19
aruzewardoflights,20
aruzewardoflights,21
partymail,47
pocketloveif,13
pocketreversi,75
pockettennis,139
pockettennis,141
puyopuyo2,114
puzzlebobblemini,112
renketsupuzzletp,110
renketsupuzzletp,111
rockmanbattleandfighters,55
samuraispirits,79
samuraispirits2,81
samuraispirits2,82
shanghaimini,106
shinsekaievolutionhd,40
shouginotatsujin,77
shouginotatsujin,78
snkgalsfighters,83
snkgalsfighters,84
gekitotsucardfighterscapcomver,123
gekitotsucardfighterscapcomver,124
gekitotsucardfighterssnkver,123
gekitotsucardfighterssnkver,124
cardfighters2ee,126
snkvscapcomcksf,91
snkvscapcomcksf,92
sonicpocketadventure,62
soreikehanafudadoujou,71
superrealmahjongpc,14
thekingoffightersbdp,63
tsunagetepon2,111
baseballstarscolor,132
biomotorunitron,39
puzzlebobblemini,112
crushroller,57
beastbustersynsh,35
divealertrebeccahen,33
divealertburnhen,119
faselei,122
garoudensetsufc,87
kingoffightersr2,96
magicaldroppocket,107
metalslug1stmission,9
metalslug2ndmission,5
neo21,64
neocherrymaster,28
neodragonswild,65
neomysterybonus,22
bigtournamentgolf,134
neogeocup98,137
pacman,3
pockettenniscolor,140
puyopuyotsu,115
renketsupuzzletp,111
tsunagetepon2,111
samuraispirits2,80
shanghaimini,103
snkgalsfighters,83
gekitotsucardfighterscapcomver,123
gekitotsucardfighterssnkver,123
snkvscapcomcksf,90
sonicpocketadventure,59
gekkanokenshitnshcyh,83
baseballstars,130
baseballstarscolor,132
biomotorunitron,39
coolboarderspocket,53
crushroller,57
beastbustersynsh,35
divealertrebeccahen,33
divealertburnhen,119
dynamiteslugger,127
shinsekaievolutionhd,38
shinsekaievolutionhd,41
cotton,44
faselei,122
garoudensetsufc,87
kingoffightersr1,85
kingoffightersr2,96
magicaldroppocket,107
metalslug1stmission,9
metalslug2ndmission,5
neo21,64
neobaccarat,69
neocherrymaster,28
neodragonswild,65
neomysterybonus,22
bigtournamentgolf,134
neogeocup98,137
pacman,3
oekakipuzzle,101
pocketreversi,75
pocketreversi,76
pockettennis,139
pockettennis,140
puyopuyotsu,115
puzzlebobblemini,112
renketsupuzzletp,111
tsunagetepon2,111
samuraispirits,79
samuraispirits2,80
shanghaimini,103
snkgalsfighters,83
gekitotsucardfighterscapcomver,123
gekitotsucardfighterssnkver,123
snkvscapcomcksf,90
sonicpocketadventure,59
gekkanokenshitnshcyh,83
neobaccarat,70
neodragonswild,66
puyopuyo2,113
biomotorunitron,37
deltawarp,31
denshadego2,51
kingoffightersr1/melonchannoseichounikki,98
kingoffightersr2,94
kingoffightersr2,95
magicaldroppocket,108
metalslug2ndmission,6
neocherrymastercolor,23
rockmanbattleandfighters,56
gekitotsucardfighters,125
gekitoucardfighterssnkver,125
snkvscapcomcksf,93
sonicpocketadventure,61
coolcooljam,117
ppaa01pusherphcg,16
puzzlebobblemini,109
divealertburnhen,32
neobaccarat,68
pachinkohisshouguide,17
partymail,46
shanghaimini,104
shanghaimini,105
sonicpocketadventure,60
bigbangprowrestling,99
