tag_name,tag_id
#players:1 #genre:action:adventure #addon:link>ngplink>setsuzoku #save:backup #compatibility:neogeopocket>color #based:manganime #lang:ja,1
#players:1 #genre:action:adventure #addon:link>setsuzoku #compatibility:neogeopocket>color #lang:ja,2
#players:1 #genre:action>maze #compatibility:neogeopocket>mono>color #search:feature>pacman #port:arcade #lang:en,3
#players:1 #genre:action>maze #compatibility:neogeopocket>mono>color #search:feature>pacman #port:arcade #lang:ja,4
#players:1 #genre:action>runandgun #compatibility:neogeopocket>color #lang:en,5
#players:1 #genre:action>runandgun #compatibility:neogeopocket>color #lang:en:ja #unfinished:demo,6
#players:1 #genre:action>runandgun #compatibility:neogeopocket>color #lang:ja,7
#players:1 #genre:action>runandgun #compatibility:neogeopocket>color #lang:ja #reboxed:snkbestcollection,8
#players:1 #genre:action>runandgun #save:backup #compatibility:neogeopocket>mono>color #lang:en,9
#players:1 #genre:action>runandgun #save:backup #compatibility:neogeopocket>mono>color #lang:ja,10
#players:1 #genre:action>runandgun #save:backup #compatibility:neogeopocket>mono>color #reboxed:snkbestcollection #lang:ja,11
#players:1 #genre:adventure>visualnovel #save:backup #compatibility:neogeopocket>color #lang:ja,12
#players:1 #genre:adventure>visualnovel #save:backup #compatibility:neogeopocket>mono>color #lang:ja,13
#players:1 #genre:board>mahjong:adventure>visualnovel #compatibility:neogeopocket>color #search:keyword>strip #lang:ja,14
#players:1 #genre:minigames #save:backup #compatibility:neogeopocket>color #lang:ja,15
#players:1 #genre:notagame>test #compatibility:neogeopocket>color #lang:ja #unfinished:proto,16
#players:1 #genre:parlor>pachinko #compatibility:neogeopocket>mono>color #lang:ja #unfinished:beta,17
#players:1 #genre:parlor>pachinko #save:backup #compatibility:neogeopocket>mono>color #lang:ja,18
#players:1 #genre:parlor>pinball #addon:link>ngplink #compatibility:neogeopocket>color #lang:ja,19
#players:1 #genre:parlor>pinball #compatibility:neogeopocket>color #lang:ja,20
#players:1 #genre:parlor>pinball #compatibility:neogeopocket>color #lang:ja #rev:1,21
#players:1 #genre:parlor>pinball #compatibility:neogeopocket>mono>color #lang:en,22
#players:1 #genre:parlor>pinball #compatibility:neogeopocket>mono>color #lang:en:ja #unfinished:demo,23
#players:1 #genre:parlor>pinball #compatibility:neogeopocket>mono>color #lang:ja,24
#players:1 #genre:parlor>pinball #compatibility:neogeopocket>mono>color #lang:ja #rev:1,25
#players:1 #genre:parlor>pinball #compatibility:neogeopocket>mono>color #lang:ja #rev:2,26
#players:1 #genre:parlor>pinball #save:backup #compatibility:neogeopocket>mono #lang:en:ja,27
#players:1 #genre:parlor>pinball #save:backup #compatibility:neogeopocket>mono>color #lang:en,28
#players:1 #genre:parlor>pinball #save:backup #compatibility:neogeopocket>mono>color #lang:ja,29
#players:1 #genre:puzzle #addon:link>ngplink #save:backup #compatibility:neogeopocket>color #lang:en:ja,30
#players:1 #genre:puzzle #addon:link>ngplink #save:backup #compatibility:neogeopocket>color #lang:en:ja #unfinished:demo,31
#players:1 #genre:rpg #addon:link>ngplink>radiounitwireless #compatibility:neogeopocket>mono>color #lang:ja #unfinished:beta,32
#players:1 #genre:rpg #addon:link>ngplink>radiounitwireless #save:backup #compatibility:neogeopocket>mono>color #lang:en,33
